work,direct_equipment,inferred_equipment,inference_reason,count,sources,unit,quantity,cost_or_price
"Укладка рельсовых рубок в путь при смене пролетных строений и снятие рубок из рельсов типа: Р65 в ""окно"" по 25м с разборкой",,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,1,Пример накопительной.xlsx:Лист_1:64717,1 пролетное строение,1,19744.58
"Укладка рельсовых рубок в путь при смене пролетных строений и снятие рубок из рельсов типа: Р65 в ""окно"" с разборкой",,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,1,Пример накопительной.xlsx:Лист_1:60175,1 пролетное строение,2,19744.58
Укладка рельсовых рубок в путь при смене пролетных строений и снятие рубок из рельсов типа: Р65 Укладка рельсовых рубок и снятие рубок из рельсов типа,,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,1,Пример накопительной.xlsx:Лист_1:60853,1 пролетное строение,2,19744.58
Укладка рельсовых рубок в путь при смене пролетных строений и снятие рубок из рельсов типа: Р65. Выполнение работ с прекращением движения поездов (раб,,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,1,Пример накопительной.xlsx:Лист_1:63251,1 пролетное строение,1,19744.58
Укладка рельсовых рубок в путь при смене пролетных строений и снятие рубок из рельсов типа: Р65. Укладка рельсовых рубок в путь при подъемке пролетных,,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,1,Пример накопительной.xlsx:Лист_1:54979,1 пролетное строение,2,19744.58
Укладка трубопроводов из полиэтиленовых труб диаметром 100 мм (Тр-1),,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:103775,1 км трубопровода,0.0252,80205.63
Укладка трубопроводов из полиэтиленовых труб диаметром 200 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:18223,1 км трубопровода,6.27,282304.69
Укладка трубопроводов из полиэтиленовых труб диаметром 300 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:75271,1 км трубопровода,0.015,655251.06
Укладка трубопроводов из полиэтиленовых труб диаметром 300 мм (футляр),,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:118517,1 км трубопровода,0.0075,655251.06
Укладка трубопроводов из полиэтиленовых труб диаметром 300 мм(футляр),,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:18253,1 км трубопровода,0.095,655251.06
Укладка трубопроводов из полиэтиленовых труб диаметром 450 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:71789,1 км трубопровода,0.001,32588.35
Укладка трубопроводов из полиэтиленовых труб диаметром 50 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:18241,1 км трубопровода,0.013,25234.41
Укладка трубопроводов из полиэтиленовых труб диаметром 50 мм Установка дренирующих трубок,,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:53545,1 км трубопровода,0.01136,25234.41
"Укладка трубопроводов из полиэтиленовых труб диаметром до 100 мм Объем-(5280+17).0,001",,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:25333,1 км трубопровода,5.297,80205.63
Укладка трубопроводов из полиэтиленовых труб диаметром до 600 мм(ФУТЛЯР),,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:18247,1 км трубопровода,0.503,32588.35
Укладка трубопроводов из хризотилцементных безнапорных труб диаметром 100 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,1,Пример накопительной.xlsx:Лист_1:95545,1 км трубопровода,0.006,43771.94
"Укладка фундаментов под колонны при глубине котлована до 4 м, масса конструкций до 3,5 т объем-5.2",,"самосвал, экскаватор",земляные выемки и работа с грунтом,1,Пример накопительной.xlsx:Лист_1:18149,100 шт. сборных конструкций,0.1,11570.37
Укрепление конусов каменной наброской и засыпка рисбермы,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:7751,100 м3 камня в деле,2.9,23918.55
"Укрепление откосов земляного полотна бетонными монолитными плитами при толщине до 10 см. Укрепление откосов монолитным бетоном, с планировкой и щебено",,"автогрейдер, бетоновоз/миксер, бетононасос, бульдозер, кран","бетонные и железобетонные работы; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:121583,100 м2 укрепляемой поверхности,0.88,10346.78
"Укрепление откосов земляного полотна бетонными монолитными плитами при толщине до 10 см. Укрепление русла монолитным бетоном, с планировкой и с учетом",,"автогрейдер, бетоновоз/миксер, бетононасос, бульдозер, кран","бетонные и железобетонные работы; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:122353,100 м2 укрепляемой поверхности,1.4,10346.78
"Укрепление откосов земляного полотна бетонными сборными плитами при толщине до 16 см, с планировкой и щебеночной подготовкой",,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:57153,100 м2 укрепляемой поверхности,20.5,19568.59
"Укрепление откосов земляного полотна бетонными сборными плитами при толщине до 8 см ,плит размером 490х490х10, с планировкой и щебеночной подготовкой",,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:57149,100 м2 укрепляемой поверхности,11.4,11942.99
"Укрепление откосов и дна канавы щебнем бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3",бульдозер,,,1,Пример накопительной.xlsx:Лист_1:77677,1000 м3 грунта,0.34,826.41
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1, 2 Объем-Ф2.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:78869,100м3,1.8187,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (152х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65453,100 м3 уплотненного грунта,0.456,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (187х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65741,100 м3 уплотненного грунта,0.561,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (214х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:63613,100 м3 уплотненного грунта,0.642,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (215х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:61799,100 м3 уплотненного грунта,0.645,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (220х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:63929,100 м3 уплотненного грунта,0.66,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (24+27)х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51727,100 м3 уплотненного грунта,0.153,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (267х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64543,100 м3 уплотненного грунта,0.801,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (320х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65197,100 м3 уплотненного грунта,0.96,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (340х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64237,100 м3 уплотненного грунта,1.02,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (490х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:55787,100 м3 уплотненного грунта,1.47,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (57х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:66011,100 м3 уплотненного грунта,0.171,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (60+220)х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65003,100 м3 уплотненного грунта,0.84,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 (700х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:52229,100 м3 уплотненного грунта,2.1,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 1105х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51893,100 м3 уплотненного грунта,3.315,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 25х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65839,100 м3 уплотненного грунта,0.075,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 260х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64063,100 м3 уплотненного грунта,0.78,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 36х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:61607,100 м3 уплотненного грунта,0.108,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 50х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65587,100 м3 уплотненного грунта,0.15,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 52х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:63413,100 м3 уплотненного грунта,0.156,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 60х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64387,100 м3 уплотненного грунта,0.18,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 840х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51963,100 м3 уплотненного грунта,2.52,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 насыпи",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:58905,100 м3 уплотненного грунта,0.25,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-((21.16,2).2,4-(31,7+145,2)).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:95275,100 м3 уплотненного грунта,0.5436,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-((3,6.3,8.0,2+2,5)-(2,19.2,34.0,1+2,39.2,54.0,1+0,15)).0,25.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:23221,100 м3 уплотненного грунта,0.0067,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-((6,6.7.0,6+3)-(19+0,55+0,7+0,25)).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:23157,100 м3 уплотненного грунта,0.0087,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-(3,1.3,4.1,35.138+32,8-2,13.138-4,1).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:114867,100 м3 уплотненного грунта,1.4436,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 объем-(31.22.5,4-13.19.4,7.2).85%.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:18181,100 м3 уплотненного грунта,1.1569,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-(4.3,4.2-(0,62+2,21+0,2+3,14.0,703.0,703.2,45+3,14.0,35.0,35.0,2)).0,85",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:28135,100 м3 уплотненного грунта,0.1725,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-(8,5.5,6.4,05-(2,6+19+0,6+3,14.1,1.1,1.5,5+3,14.0,35.0,35.1,35)).0,85.2",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:116415,100 м3 уплотненного грунта,2.5358,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-108,3м3х85%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:76409,100 м3 уплотненного грунта,0.5074,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 объем-314.85%.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:24249,100 м3 уплотненного грунта,0.2669,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 объем-393,8м3х85%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:103241,100 м3,3.3471,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем-Ф2.0,85",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:16299,100 м3 уплотненного грунта,5.4364,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 объем:(18,1+0,8).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:88945,100 м3 уплотненного грунта,0.0196,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем=0,85.(15+230).0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:20061,100 м3 уплотненного грунта,0.20825,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем▒0,85.(1430+1201,05).0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:1471,100 м3 уплотненного грунта,2.2364,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 Объем▒0,85.180.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:3465,100 м3 уплотненного грунта,0.153,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2, (250х30%)",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:121891,100 м3 уплотненного грунта,0.75,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2, 30% согласно ВОР",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:122731,100 м3 уплотненного грунта,0.345,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2, 60х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:121869,100 м3 уплотненного грунта,0.18,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-230% согласно ВОР",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:58085,100 м3 уплотненного грунта,0.48,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 2-3",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:113959,100 м3 уплотненного грунта,0.7278,483.54
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 (74+75)х30%",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51725,100 м3 уплотненного грунта,0.447,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 30%, согласно ВОР",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:62047,100 м3 уплотненного грунта,0.39,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-((2100.1,3.3+2,7.2,7.3.7+3,7.3,7.3.2)-(20+8,9.7+16.2+315)).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:25435,100 м3 уплотненного грунта,6.7965,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-((3,6.3,8.0,2+2,5)-(2,19.2,34.0,1+2,39.2,54.0,1+0,15)).0,75.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:23223,100 м3 уплотненного грунта,0.0202,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-((6202.1,3.3+2,7.2,7.3.84+3,7.3,7.3.2)-(170+8,9.84+16.2+930)).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:25317,100 м3 уплотненного грунта,20.5933,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-(2,4.2,4.(1,05+1,85)-(1.1.(0,95+1,75)+0,144.2)).0,85",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:17625,100 м3 уплотненного грунта,0.1166,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-(2,4.2,4.1,9-1.1.1,9).0,85",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:27427,100 м3 уплотненного грунта,0.076874,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-(2,4.2,4.1,9-1.1.1,9).0,85.5",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:12093,100 м3 уплотненного грунта,0.3844,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-26703,69.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:18207,100 м3 уплотненного грунта,22.6981,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-32,9.0,85.0,1.4",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:77229,100 м3 уплотненного грунта,0.1119,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-457,64.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:18047,100 м3 уплотненного грунта,0.389,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем-85.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:18341,100 м3 уплотненного грунта,0.0723,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 объем:((268-7,2)+32,1).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:21095,100 м3 уплотненного грунта,0.249,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 объем:((40,8-22)+26).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:20741,100 м3 уплотненного грунта,0.0381,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 объем:((74,4-3,2)+160).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:22555,100 м3 уплотненного грунта,0.197,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 объем:((76,8-3,2)+176).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:22285,100 м3 уплотненного грунта,0.212,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 объем:(1,6+11).0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:22895,100 м3 уплотненного грунта,0.011,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 объем:344.0,85.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:22971,100 м3 уплотненного грунта,0.292,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4 Объем▒0,85.1430.0,1",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:1473,100 м3 уплотненного грунта,1.2155,577.24
"Уплотнение грунта пневматическими трамбовками, группа грунтов 3-4. Производство работ вблизи объектов, находящихся под высоким напряжением; в охранной",трамбовка,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:31133,100 м3 уплотненного грунта,0.0425,577.24
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый про ход по одному следу при толщине слоя 30 см,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:95277,1000 м3 уплотненного грунта,0.4893,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (152х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65449,1000 м3 уплотненного грунта,0.1064,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (187х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65737,1000 м3 уплотненного грунта,0.1309,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (214х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:63609,1000 м3 уплотненного грунта,0.1498,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (215х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:61795,1000 м3 уплотненного грунта,0.1505,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (220х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:63925,1000 м3 уплотненного грунта,0.154,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (267х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64539,1000 м3 уплотненного грунта,0.1869,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (320х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65193,1000 м3 уплотненного грунта,0.224,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (340х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64233,1000 м3 уплотненного грунта,0.238,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (490х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:55783,1000 м3 уплотненного грунта,0.343,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (57х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:66007,1000 м3 уплотненного грунта,0.0399,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (60+220)х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64999,1000 м3 уплотненного грунта,0.196,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см (700х70%),каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:52225,1000 м3 уплотненного грунта,0.49,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 1105х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51889,1000 м3 уплотненного грунта,0.7735,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 200х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51729,1000 м3 уплотненного грунта,0.14,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 25х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65835,1000 м3 уплотненного грунта,0.0175,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 260х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64059,1000 м3 уплотненного грунта,0.182,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 350+250+30=630,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:55189,1000 м3 уплотненного грунта,0.63,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 36х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:61603,1000 м3 уплотненного грунта,0.0252,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 50х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:65583,1000 м3 уплотненного грунта,0.035,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 52х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:63409,1000 м3 уплотненного грунта,0.0364,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 60х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:64383,1000 м3 уплотненного грунта,0.042,1507.82
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см 840х70%,каток,"каток, трамбовка",уплотнение грунта или основания,1,Пример накопительной.xlsx:Лист_1:51959,1000 м3 уплотненного грунта,0.588,1507.82
